locality,state,location
Courtland,MI,"Courtland, MI"
Crockery,MI,"Crockery, MI"
Croton,MI,"Croton, MI"
Crystal,MI,"Crystal, MI"
Dallas,MI,"Dallas, MI"
Danby,MI,"Danby, MI"
Davison,MI,"Davison, MI"
Dearborn,MI,"Dearborn, MI"
Decatur,MI,"Decatur, MI"
Deerfield,MI,"Deerfield, MI"
Delhi,MI,"Delhi, MI"
Delta,MI,"Delta, MI"
Denmark,MI,"Denmark, MI"
Denver,MI,"Denver, MI"
Detriot,MI,"Detriot, MI"
Detroit,MI,"Detroit, MI"
Dewitt,MI,"Dewitt, MI"
Dexter,MI,"Dexter, MI"
Donn,MI,"Donn, MI"
Dover,MI,"Dover, MI"
Dowagiac,MI,"Dowagiac, MI"
Dryden,MI,"Dryden, MI"
Dundee,MI,"Dundee, MI"
Duplain,MI,"Duplain, MI"
Dwight,MI,"Dwight, MI"
Eagle,MI,"Eagle, MI"
East Saginaw,MI,"East Saginaw, MI"
Easton,MI,"Easton, MI"
Eaton,MI,"Eaton, MI"
Eaton Rapids,MI,"Eaton Rapids, MI"
Eckford,MI,"Eckford, MI"
Ecorse,MI,"Ecorse, MI"
Elba,MI,"Elba, MI"
Elk Rapids,MI,"Elk Rapids, MI"
Emerson,MI,"Emerson, MI"
Emmet,MI,"Emmet, MI"
Ensley,MI,"Ensley, MI"
Erie,MI,"Erie, MI"
Erin,MI,"Erin, MI"
Essex,MI,"Essex, MI"
Essexville,MI,"Essexville, MI"
Eureka,MI,"Eureka, MI"
Everett,MI,"Everett, MI"
Evergreen,MI,"Evergreen, MI"
Exeter,MI,"Exeter, MI"
Fabius,MI,"Fabius, MI"
Fair Grove,MI,"Fair Grove, MI"
Fairfield,MI,"Fairfield, MI"
Fairplan,MI,"Fairplan, MI"
Farmington,MI,"Farmington, MI"
Fawn River,MI,"Fawn River, MI"
Fayette,MI,"Fayette, MI"
Fenton,MI,"Fenton, MI"
Fillmore,MI,"Fillmore, MI"
Flint,MI,"Flint, MI"
Flint City,MI,"Flint City, MI"
Florence,MI,"Florence, MI"
Flowerfield,MI,"Flowerfield, MI"
Flushing,MI,"Flushing, MI"
Forest,MI,"Forest, MI"
Forester,MI,"Forester, MI"
Frankenmuth,MI,"Frankenmuth, MI"
Frankfort,MI,"Frankfort, MI"
Franklin,MI,"Franklin, MI"
Fredonia,MI,"Fredonia, MI"
Freedom,MI,"Freedom, MI"
Fremon,MI,"Fremon, MI"
Fremont,MI,"Fremont, MI"
Ft. Brady,MI,"Ft. Brady, MI"
Fulton,MI,"Fulton, MI"
Gaines,MI,"Gaines, MI"
Galien,MI,"Galien, MI"
Ganges,MI,"Ganges, MI"
Genesee,MI,"Genesee, MI"
Georgetown,MI,"Georgetown, MI"
Gilead,MI,"Gilead, MI"
Gilford,MI,"Gilford, MI"
Girard,MI,"Girard, MI"
Glen Arbor,MI,"Glen Arbor, MI"
Goodland,MI,"Goodland, MI"
Grand  Blanc,MI,"Grand  Blanc, MI"
Grand Blanc,MI,"Grand Blanc, MI"
Grand Rapids,MI,"Grand Rapids, MI"
Grand Rapids City,MI,"Grand Rapids City, MI"
Grass Lake,MI,"Grass Lake, MI"
Grattan,MI,"Grattan, MI"
Green,MI,"Green, MI"
Green Oak,MI,"Green Oak, MI"
Greenbush,MI,"Greenbush, MI"
Greenfield,MI,"Greenfield, MI"
Greenland,MI,"Greenland, MI"
Greenville,MI,"Greenville, MI"
Greenwood,MI,"Greenwood, MI"
Grosssepoint,MI,"Grosssepoint, MI"
Groveland,MI,"Groveland, MI"
Gun Plain,MI,"Gun Plain, MI"
Hadley,MI,"Hadley, MI"
Hagan,MI,"Hagan, MI"
Hamburg,MI,"Hamburg, MI"
Hamilton,MI,"Hamilton, MI"
Hampton,MI,"Hampton, MI"
Hamtramck,MI,"Hamtramck, MI"
Hancock,MI,"Hancock, MI"
Handy,MI,"Handy, MI"
Hanover,MI,"Hanover, MI"
Harrison,MI,"Harrison, MI"
Harrisville,MI,"Harrisville, MI"
Hartford,MI,"Hartford, MI"
Hartland,MI,"Hartland, MI"
Harvey,MI,"Harvey, MI"
Hazleton,MI,"Hazleton, MI"
Heath,MI,"Heath, MI"
Henrietta,MI,"Henrietta, MI"
Hickory Corners,MI,"Hickory Corners, MI"
Highland,MI,"Highland, MI"
Hillsdale,MI,"Hillsdale, MI"
Holland,MI,"Holland, MI"
Holland City,MI,"Holland City, MI"
Holley,MI,"Holley, MI"
Holmes,MI,"Holmes, MI"
Homer,MI,"Homer, MI"
Hope,MI,"Hope, MI"
Hopkins,MI,"Hopkins, MI"
Houghton,MI,"Houghton, MI"
Howard,MI,"Howard, MI"
Howell,MI,"Howell, MI"
Hudson,MI,"Hudson, MI"
Huron,MI,"Huron, MI"
Ida,MI,"Ida, MI"
Imlay,MI,"Imlay, MI"
Independence,MI,"Independence, MI"
Indian Fields,MI,"Indian Fields, MI"
Ingersoll,MI,"Ingersoll, MI"
Ingham,MI,"Ingham, MI"
Ionia,MI,"Ionia, MI"
Iosco,MI,"Iosco, MI"
Ira,MI,"Ira, MI"
Irving,MI,"Irving, MI"
Ishpeming,MI,"Ishpeming, MI"
Jackson,MI,"Jackson, MI"
Jackson City,MI,"Jackson City, MI"
Jamestown,MI,"Jamestown, MI"
Jefferson,MI,"Jefferson, MI"
Jerome,MI,"Jerome, MI"
Johnstown,MI,"Johnstown, MI"
Jonesville,MI,"Jonesville, MI"
Juniatta,MI,"Juniatta, MI"
Kalamazoo,MI,"Kalamazoo, MI"
Kalamo,MI,"Kalamo, MI"
Keeler,MI,"Keeler, MI"
Keene,MI,"Keene, MI"
Kenockee,MI,"Kenockee, MI"
Kimball,MI,"Kimball, MI"
Kinderhook,MI,"Kinderhook, MI"
La Grange,MI,"La Grange, MI"
Lacota,MI,"Lacota, MI"
Lafayette,MI,"Lafayette, MI"
Lake,MI,"Lake, MI"
Lansing,MI,"Lansing, MI"
Lapeer,MI,"Lapeer, MI"
LaSalle,MI,"LaSalle, MI"
Lawrence,MI,"Lawrence, MI"
Lebanon,MI,"Lebanon, MI"
Lee,MI,"Lee, MI"
Leelanaw,MI,"Leelanaw, MI"
Leighton,MI,"Leighton, MI"
Lenox,MI,"Lenox, MI"
Leoni,MI,"Leoni, MI"
Leonidas,MI,"Leonidas, MI"
LeRoy,MI,"LeRoy, MI"
Leslie,MI,"Leslie, MI"
Lexington,MI,"Lexington, MI"
Liberty,MI,"Liberty, MI"
Lima,MI,"Lima, MI"
Lindon,MI,"Lindon, MI"
Litchfield,MI,"Litchfield, MI"
Livonia,MI,"Livonia, MI"
Locke,MI,"Locke, MI"
Lodi,MI,"Lodi, MI"
London,MI,"London, MI"
Lowell,MI,"Lowell, MI"
Ludington,MI,"Ludington, MI"
Lynn,MI,"Lynn, MI"
Lyon,MI,"Lyon, MI"
Lyons,MI,"Lyons, MI"
Mackinak,MI,"Mackinak, MI"
Macomb,MI,"Macomb, MI"
Manchester,MI,"Manchester, MI"
Manistee,MI,"Manistee, MI"
Manlius,MI,"Manlius, MI"
Maple Grove,MI,"Maple Grove, MI"
Marathon,MI,"Marathon, MI"
Marcellus,MI,"Marcellus, MI"
Marengo,MI,"Marengo, MI"
Marion,MI,"Marion, MI"
Marquette,MI,"Marquette, MI"
Marshall,MI,"Marshall, MI"
Martin,MI,"Martin, MI"
Mason,MI,"Mason, MI"
Matteson,MI,"Matteson, MI"
Medina,MI,"Medina, MI"
Megeezee,MI,"Megeezee, MI"
Mendon,MI,"Mendon, MI"
Meridian,MI,"Meridian, MI"
Metamora,MI,"Metamora, MI"
Middlebury,MI,"Middlebury, MI"
Midland,MI,"Midland, MI"
Milan,MI,"Milan, MI"
Milford,MI,"Milford, MI"
Milton,MI,"Milton, MI"
Monguagon,MI,"Monguagon, MI"
Monroe,MI,"Monroe, MI"
Monroe City,MI,"Monroe City, MI"
Montcalm,MI,"Montcalm, MI"
Monterey,MI,"Monterey, MI"
Montrose,MI,"Montrose, MI"
Moscow,MI,"Moscow, MI"
Mottville,MI,"Mottville, MI"
Mount Clemens,MI,"Mount Clemens, MI"
Mount Morris,MI,"Mount Morris, MI"
Mundy,MI,"Mundy, MI"
Muskegon,MI,"Muskegon, MI"
Mussey,MI,"Mussey, MI"
Nankin,MI,"Nankin, MI"
Napoleon,MI,"Napoleon, MI"
Neguanee,MI,"Neguanee, MI"
Nelson,MI,"Nelson, MI"
New Buffalo,MI,"New Buffalo, MI"
New Haven,MI,"New Haven, MI"
Newark,MI,"Newark, MI"
Newburgh,MI,"Newburgh, MI"
Newton,MI,"Newton, MI"
Niles,MI,"Niles, MI"
Niles City,MI,"Niles City, MI"
Noble,MI,"Noble, MI"
North Branch,MI,"North Branch, MI"
North Plains,MI,"North Plains, MI"
North Shade,MI,"North Shade, MI"
North Star,MI,"North Star, MI"
Northfield,MI,"Northfield, MI"
Northport,MI,"Northport, MI"
Novi,MI,"Novi, MI"
Oakfield,MI,"Oakfield, MI"
Oakland,MI,"Oakland, MI"
Oceana,MI,"Oceana, MI"
Odessa,MI,"Odessa, MI"
Ogden,MI,"Ogden, MI"
Olive,MI,"Olive, MI"
Olivet,MI,"Olivet, MI"
Oneida,MI,"Oneida, MI"
Onondaga,MI,"Onondaga, MI"
Ontwa,MI,"Ontwa, MI"
Orange,MI,"Orange, MI"
Orangeville,MI,"Orangeville, MI"
Oranokogo,MI,"Oranokogo, MI"
Orchard Lake,MI,"Orchard Lake, MI"
Oregon,MI,"Oregon, MI"
Orion,MI,"Orion, MI"
Orleans,MI,"Orleans, MI"
Osceola,MI,"Osceola, MI"
Oshtemo,MI,"Oshtemo, MI"
Otisco,MI,"Otisco, MI"
Otsego,MI,"Otsego, MI"
Ottawa,MI,"Ottawa, MI"
Overisel,MI,"Overisel, MI"
Ovid,MI,"Ovid, MI"
Owasso,MI,"Owasso, MI"
Owosso,MI,"Owosso, MI"
Oxford,MI,"Oxford, MI"
Palmyra,MI,"Palmyra, MI"
Paris,MI,"Paris, MI"
Park,MI,"Park, MI"
Parma,MI,"Parma, MI"
Pavillion,MI,"Pavillion, MI"
Peninsula,MI,"Peninsula, MI"
Penn,MI,"Penn, MI"
Pennfield,MI,"Pennfield, MI"
Perry,MI,"Perry, MI"
Pine Grove,MI,"Pine Grove, MI"
Pine Plains,MI,"Pine Plains, MI"
Pine River,MI,"Pine River, MI"
Pipestone,MI,"Pipestone, MI"
Pittsfield,MI,"Pittsfield, MI"
Pittsford,MI,"Pittsford, MI"
Plainfield,MI,"Plainfield, MI"
Plainwell,MI,"Plainwell, MI"
Plymouth,MI,"Plymouth, MI"
Pokagon,MI,"Pokagon, MI"
Polkton,MI,"Polkton, MI"
Pontiac,MI,"Pontiac, MI"
Port Huron,MI,"Port Huron, MI"
Portage,MI,"Portage, MI"
Porter,MI,"Porter, MI"
Portland,MI,"Portland, MI"
Prairie Ronde,MI,"Prairie Ronde, MI"
Prairieville,MI,"Prairieville, MI"
Pulaski,MI,"Pulaski, MI"
Putnam,MI,"Putnam, MI"
Quincy,MI,"Quincy, MI"
Raisin,MI,"Raisin, MI"
Raisinville,MI,"Raisinville, MI"
Ransom,MI,"Ransom, MI"
Ravenna,MI,"Ravenna, MI"
Ray,MI,"Ray, MI"
Reading,MI,"Reading, MI"
Redford,MI,"Redford, MI"
Richfield,MI,"Richfield, MI"
Richland,MI,"Richland, MI"
Richmond,MI,"Richmond, MI"
Ridgeway,MI,"Ridgeway, MI"
Riga,MI,"Riga, MI"
Riley,MI,"Riley, MI"
Rives,MI,"Rives, MI"
Robinson,MI,"Robinson, MI"
Rochester,MI,"Rochester, MI"
Rockland,MI,"Rockland, MI"
Rodney,MI,"Rodney, MI"
Rogers,MI,"Rogers, MI"
Rollin,MI,"Rollin, MI"
Rome,MI,"Rome, MI"
Romulus,MI,"Romulus, MI"
Ronald,MI,"Ronald, MI"
Rose,MI,"Rose, MI"
Ross,MI,"Ross, MI"
Roxand,MI,"Roxand, MI"
Royal Oak,MI,"Royal Oak, MI"
Royalton,MI,"Royalton, MI"
Rubicon,MI,"Rubicon, MI"
Rush,MI,"Rush, MI"
Rutland,MI,"Rutland, MI"
Saginaw,MI,"Saginaw, MI"
Saginaw City,MI,"Saginaw City, MI"
Salem,MI,"Salem, MI"
Saline,MI,"Saline, MI"
Sand Beach,MI,"Sand Beach, MI"
Sandstone,MI,"Sandstone, MI"
Sanilac,MI,"Sanilac, MI"
Saulte Ste. Marie,MI,"Saulte Ste. Marie, MI"
Schoocraft,MI,"Schoocraft, MI"
Scipio,MI,"Scipio, MI"
Sebewaing,MI,"Sebewaing, MI"
Seneca,MI,"Seneca, MI"
Seweba,MI,"Seweba, MI"
Sharon,MI,"Sharon, MI"
Shelby,MI,"Shelby, MI"
Sheridan,MI,"Sheridan, MI"
Sherman,MI,"Sherman, MI"
Sherwood,MI,"Sherwood, MI"
Shiawassee,MI,"Shiawassee, MI"
Siddons,MI,"Siddons, MI"
Silver Creek,MI,"Silver Creek, MI"
Solon,MI,"Solon, MI"
Somerset,MI,"Somerset, MI"
South Haven,MI,"South Haven, MI"
Southfield,MI,"Southfield, MI"
Sparta,MI,"Sparta, MI"
Speaker,MI,"Speaker, MI"
Spring Arbor,MI,"Spring Arbor, MI"
Spring Lake,MI,"Spring Lake, MI"
Spring?,MI,"Spring?, MI"
Springfield,MI,"Springfield, MI"
Springport,MI,"Springport, MI"
Springwells,MI,"Springwells, MI"
St. Charles,MI,"St. Charles, MI"
St. Clair,MI,"St. Clair, MI"
St. Clair City,MI,"St. Clair City, MI"
St. Ignace,MI,"St. Ignace, MI"
St. John's,MI,"St. John's, MI"
St. Joseph,MI,"St. Joseph, MI"
Sterling,MI,"Sterling, MI"
Stockbridge,MI,"Stockbridge, MI"
Stronach,MI,"Stronach, MI"
Sturgis,MI,"Sturgis, MI"
Summerfield,MI,"Summerfield, MI"
Summir,MI,"Summir, MI"
Sumner,MI,"Sumner, MI"
Sumpter,MI,"Sumpter, MI"
Sunfield,MI,"Sunfield, MI"
Superior,MI,"Superior, MI"
Sylvan,MI,"Sylvan, MI"
Tallmadge,MI,"Tallmadge, MI"
Taylor,MI,"Taylor, MI"
Taymouth,MI,"Taymouth, MI"
Tecumseh,MI,"Tecumseh, MI"
Tekonsha,MI,"Tekonsha, MI"
Texas,MI,"Texas, MI"
Thetford,MI,"Thetford, MI"
Thomastown,MI,"Thomastown, MI"
Thornapple,MI,"Thornapple, MI"
Three Oaks,MI,"Three Oaks, MI"
Three Rivers,MI,"Three Rivers, MI"
Tittabawassee,MI,"Tittabawassee, MI"
Tompkins,MI,"Tompkins, MI"
Traverse,MI,"Traverse, MI"
Traverse City,MI,"Traverse City, MI"
Trowbridge,MI,"Trowbridge, MI"
Troy,MI,"Troy, MI"
Tuscola,MI,"Tuscola, MI"
Tyrone,MI,"Tyrone, MI"
Unadilla,MI,"Unadilla, MI"
Union,MI,"Union, MI"
Union City,MI,"Union City, MI"
Van Buren,MI,"Van Buren, MI"
Vanderbilt,MI,"Vanderbilt, MI"
Venice,MI,"Venice, MI"
Vermontville,MI,"Vermontville, MI"
Vernon,MI,"Vernon, MI"
Vevay,MI,"Vevay, MI"
Victor,MI,"Victor, MI"
Vienna,MI,"Vienna, MI"
Volinia,MI,"Volinia, MI"
Wakeshma,MI,"Wakeshma, MI"
Wales,MI,"Wales, MI"
Walker,MI,"Walker, MI"
Walton,MI,"Walton, MI"
Warren,MI,"Warren, MI"
Washington,MI,"Washington, MI"
Waterford,MI,"Waterford, MI"
Waterloo,MI,"Waterloo, MI"
Watertown,MI,"Watertown, MI"
Watervliet,MI,"Watervliet, MI"
Watson,MI,"Watson, MI"
Waverly,MI,"Waverly, MI"
Wayland,MI,"Wayland, MI"
Wayne,MI,"Wayne, MI"
Webster,MI,"Webster, MI"
Weesaw,MI,"Weesaw, MI"
West Bloomfield,MI,"West Bloomfield, MI"
Westphalia,MI,"Westphalia, MI"
Wheatfield,MI,"Wheatfield, MI"
Wheatland,MI,"Wheatland, MI"
White Lake,MI,"White Lake, MI"
White Oak,MI,"White Oak, MI"
White Pigeon,MI,"White Pigeon, MI"
White River,MI,"White River, MI"
Whiteford,MI,"Whiteford, MI"
Williams,MI,"Williams, MI"
Williamstown,MI,"Williamstown, MI"
Windsor,MI,"Windsor, MI"
Wisner,MI,"Wisner, MI"
Woodbridge,MI,"Woodbridge, MI"
Woodhull,MI,"Woodhull, MI"
Woodland,MI,"Woodland, MI"
Woodstock,MI,"Woodstock, MI"
Worth,MI,"Worth, MI"
Wright,MI,"Wright, MI"
Wyandotte,MI,"Wyandotte, MI"
Wyoming,MI,"Wyoming, MI"
York,MI,"York, MI"
Ypsilanti,MI,"Ypsilanti, MI"
Zeeland,MI,"Zeeland, MI"
Zilwaukee,MI,"Zilwaukee, MI"
NA,MI,"NA, MI"
Anoka,MN,"Anoka, MN"
Austin,MN,"Austin, MN"
Berlin,MN,"Berlin, MN"
Blue Earth City,MN,"Blue Earth City, MN"
Brainerd,MN,"Brainerd, MN"
Cambridge,MN,"Cambridge, MN"
Carlstadt,MN,"Carlstadt, MN"
Carver,MN,"Carver, MN"
Chatfrield,MN,"Chatfrield, MN"
Collegeville,MN,"Collegeville, MN"
Dover Center,MN,"Dover Center, MN"
Duluth,MN,"Duluth, MN"
Fabault?,MN,"Fabault?, MN"
Fairbault,MN,"Fairbault, MN"
Fairboult,MN,"Fairboult, MN"
Faribault,MN,"Faribault, MN"
Farmington,MN,"Farmington, MN"
Fergus Falls,MN,"Fergus Falls, MN"
Fremont,MN,"Fremont, MN"
Glencoe,MN,"Glencoe, MN"
Goodhue,MN,"Goodhue, MN"
Grand Meadow,MN,"Grand Meadow, MN"
Hastings,MN,"Hastings, MN"
Hokah,MN,"Hokah, MN"
Hutchinson,MN,"Hutchinson, MN"
Jackson,MN,"Jackson, MN"
Lake City,MN,"Lake City, MN"
Lanesboro,MN,"Lanesboro, MN"
Litchfield,MN,"Litchfield, MN"
Mankato,MN,"Mankato, MN"
Mantorville,MN,"Mantorville, MN"
Mininger,MN,"Mininger, MN"
Minneapolis,MN,"Minneapolis, MN"
Minnesota City,MN,"Minnesota City, MN"
New Ulm,MN,"New Ulm, MN"
Northfield,MN,"Northfield, MN"
Owatonna,MN,"Owatonna, MN"
Owatowa,MN,"Owatowa, MN"
Plainview,MN,"Plainview, MN"
Preston,MN,"Preston, MN"
Red Wing,MN,"Red Wing, MN"
Rochester,MN,"Rochester, MN"
Rushford,MN,"Rushford, MN"
Saint Cloud,MN,"Saint Cloud, MN"
Sauk Center,MN,"Sauk Center, MN"
Sibley,MN,"Sibley, MN"
Smithfield,MN,"Smithfield, MN"
Spring Valley,MN,"Spring Valley, MN"
St. Anthony,MN,"St. Anthony, MN"
St. Cloud,MN,"St. Cloud, MN"
St. Joseph,MN,"St. Joseph, MN"
St. Paul,MN,"St. Paul, MN"
St. Paul's,MN,"St. Paul's, MN"
St. Peter,MN,"St. Peter, MN"
Stillwater,MN,"Stillwater, MN"
Taylor's Falls,MN,"Taylor's Falls, MN"
Union,MN,"Union, MN"
Wabasha,MN,"Wabasha, MN"
Waseca,MN,"Waseca, MN"
White Bear,MN,"White Bear, MN"
Winona,MN,"Winona, MN"
Worthington,MN,"Worthington, MN"
Zumbrota,MN,"Zumbrota, MN"
Barrens,MO,"Barrens, MO"
Boonville,MO,"Boonville, MO"
Bowling Green,MO,"Bowling Green, MO"
Brunswick,MO,"Brunswick, MO"
Canton,MO,"Canton, MO"
Cape Girardeau,MO,"Cape Girardeau, MO"
Cape Girardequ,MO,"Cape Girardequ, MO"
Carondelet City,MO,"Carondelet City, MO"
Carrollton,MO,"Carrollton, MO"
College Mound,MO,"College Mound, MO"
Columbia,MO,"Columbia, MO"
Fayette,MO,"Fayette, MO"
Franklin,MO,"Franklin, MO"
Fulton,MO,"Fulton, MO"
Glasgow,MO,"Glasgow, MO"
Greenwood,MO,"Greenwood, MO"
Hannibal,MO,"Hannibal, MO"
Hillsboro,MO,"Hillsboro, MO"
Independence,MO,"Independence, MO"
Jefferson City,MO,"Jefferson City, MO"
Jefferson?,MO,"Jefferson?, MO"
Kansas City,MO,"Kansas City, MO"
Kidder,MO,"Kidder, MO"
La Grange,MO,"La Grange, MO"
Lexington,MO,"Lexington, MO"
Liberty,MO,"Liberty, MO"
Maryville,MO,"Maryville, MO"
May View,MO,"May View, MO"
Mexico,MO,"Mexico, MO"
Moberly,MO,"Moberly, MO"
Oregon,MO,"Oregon, MO"
Palmyra,MO,"Palmyra, MO"
Parkville,MO,"Parkville, MO"
Rolla,MO,"Rolla, MO"
Sedalia,MO,"Sedalia, MO"
Springfield,MO,"Springfield, MO"
St Louis,MO,"St Louis, MO"
St. Charles,MO,"St. Charles, MO"
St. Joseph,MO,"St. Joseph, MO"
St. Joseph's,MO,"St. Joseph's, MO"
St. Louis,MO,"St. Louis, MO"
Troy,MO,"Troy, MO"
Aberdeen,MS,"Aberdeen, MS"
Adams,MS,"Adams, MS"
Attala County,MS,"Attala County, MS"
Canton,MS,"Canton, MS"
Clinton,MS,"Clinton, MS"
Garlandsville,MS,"Garlandsville, MS"
Greene County,MS,"Greene County, MS"
Holly Springs,MS,"Holly Springs, MS"
Holy Springs,MS,"Holy Springs, MS"
Jackson,MS,"Jackson, MS"
Kosciusko,MS,"Kosciusko, MS"
Liberty,MS,"Liberty, MS"
Louisville,MS,"Louisville, MS"
Meridian Springs,MS,"Meridian Springs, MS"
Natchez,MS,"Natchez, MS"
Oakland,MS,"Oakland, MS"
Oxford,MS,"Oxford, MS"
Pike,MS,"Pike, MS"
Pontotoc,MS,"Pontotoc, MS"
Port Gibson,MS,"Port Gibson, MS"
Rodney,MS,"Rodney, MS"
Sharon,MS,"Sharon, MS"
Springville,MS,"Springville, MS"
Tchula,MS,"Tchula, MS"
Washington,MS,"Washington, MS"
Woodville,MS,"Woodville, MS"
Yazoo City,MS,"Yazoo City, MS"
Camp Baker,MT,"Camp Baker, MT"
Ft. Ellis,MT,"Ft. Ellis, MT"
Ft. Shaw,MT,"Ft. Shaw, MT"
Helena,MT,"Helena, MT"
Albemarle?,NC,"Albemarle?, NC"
Asheville,NC,"Asheville, NC"
Bath,NC,"Bath, NC"
Beaufort,NC,"Beaufort, NC"
Brunswick,NC,"Brunswick, NC"
Cape Fear,NC,"Cape Fear, NC"
Chapel Hill,NC,"Chapel Hill, NC"
Charlotte,NC,"Charlotte, NC"
Chowan,NC,"Chowan, NC"
Currituck,NC,"Currituck, NC"
Davidson,NC,"Davidson, NC"
Davidson County,NC,"Davidson County, NC"
Edenton,NC,"Edenton, NC"
Edgecombe,NC,"Edgecombe, NC"
Fayeteville,NC,"Fayeteville, NC"
Fayetteville,NC,"Fayetteville, NC"
Forestville,NC,"Forestville, NC"
Greensboro,NC,"Greensboro, NC"
Guildford,NC,"Guildford, NC"
Guilford,NC,"Guilford, NC"
Happy Home,NC,"Happy Home, NC"
Hillsboro,NC,"Hillsboro, NC"
Hookerton,NC,"Hookerton, NC"
Iredell Co.,NC,"Iredell Co., NC"
Iredell County,NC,"Iredell County, NC"
Lenoir,NC,"Lenoir, NC"
Lincoln County,NC,"Lincoln County, NC"
Mechlenberg County,NC,"Mechlenberg County, NC"
Mecklenburg,NC,"Mecklenburg, NC"
Mt. Pleasant,NC,"Mt. Pleasant, NC"
Nazareth,NC,"Nazareth, NC"
New Garden,NC,"New Garden, NC"
New Salem,NC,"New Salem, NC"
Newbern,NC,"Newbern, NC"
Northampton Co.,NC,"Northampton Co., NC"
Olin,NC,"Olin, NC"
Oxford,NC,"Oxford, NC"
Pamplici?,NC,"Pamplici?, NC"
Pamplier?,NC,"Pamplier?, NC"
Person County,NC,"Person County, NC"
Raleigh,NC,"Raleigh, NC"
Randolph,NC,"Randolph, NC"
Randolph Co.,NC,"Randolph Co., NC"
Rowan County,NC,"Rowan County, NC"
Rowan Cty,NC,"Rowan Cty, NC"
Rutherford,NC,"Rutherford, NC"
Salem,NC,"Salem, NC"
Statesville,NC,"Statesville, NC"
Stokes Co.,NC,"Stokes Co., NC"
Trinity,NC,"Trinity, NC"
Wake Forest,NC,"Wake Forest, NC"
Weldon,NC,"Weldon, NC"
Williamsboro,NC,"Williamsboro, NC"
Williamston,NC,"Williamston, NC"
Wilmington,NC,"Wilmington, NC"
Wilson,NC,"Wilson, NC"
NA,NC,"NA, NC"
Bismark,ND,"Bismark, ND"
Fort Totten,ND,"Fort Totten, ND"
Ft Badford,ND,"Ft Badford, ND"
Ft. Stevenson,ND,"Ft. Stevenson, ND"
Brownsville,NE,"Brownsville, NE"
Brownville,NE,"Brownville, NE"
Crete,NE,"Crete, NE"
Dakotah City,NE,"Dakotah City, NE"
Falls City,NE,"Falls City, NE"
Fremont,NE,"Fremont, NE"
Ft. McPherson,NE,"Ft. McPherson, NE"
Ft. Robinson,NE,"Ft. Robinson, NE"
Lincoln,NE,"Lincoln, NE"
Nebraska City,NE,"Nebraska City, NE"
Omaha,NE,"Omaha, NE"
Otoe County,NE,"Otoe County, NE"
NA,NE,"NA, NE"
Acworth,NH,"Acworth, NH"
Alstead,NH,"Alstead, NH"
amherst,NH,"amherst, NH"
Amherst,NH,"Amherst, NH"
Andover,NH,"Andover, NH"
Antrim,NH,"Antrim, NH"
Ashland,NH,"Ashland, NH"
Ashuelot,NH,"Ashuelot, NH"
Barnstead,NH,"Barnstead, NH"
Barrington,NH,"Barrington, NH"
Bath,NH,"Bath, NH"
Bedford,NH,"Bedford, NH"
Bethlehem,NH,"Bethlehem, NH"
Boscawen,NH,"Boscawen, NH"
Bow,NH,"Bow, NH"
Bradford,NH,"Bradford, NH"
Brentwood,NH,"Brentwood, NH"
Bridgewater,NH,"Bridgewater, NH"
Bristol,NH,"Bristol, NH"
Brookfield,NH,"Brookfield, NH"
Brookline,NH,"Brookline, NH"
Campton,NH,"Campton, NH"
Canaan,NH,"Canaan, NH"
Candia,NH,"Candia, NH"
Canterbury,NH,"Canterbury, NH"
Cenre Harbor,NH,"Cenre Harbor, NH"
Charleston,NH,"Charleston, NH"
Charlestown,NH,"Charlestown, NH"
Cheshire,NH,"Cheshire, NH"
Chester,NH,"Chester, NH"
Chichester,NH,"Chichester, NH"
Claremont,NH,"Claremont, NH"
Colebrook and Monadnock,NH,"Colebrook and Monadnock, NH"
Concord,NH,"Concord, NH"
Contoocook,NH,"Contoocook, NH"
Conway and Bartlett,NH,"Conway and Bartlett, NH"
Cornish,NH,"Cornish, NH"
Corydon,NH,"Corydon, NH"
Danbury,NH,"Danbury, NH"
Deerfield,NH,"Deerfield, NH"
Deering,NH,"Deering, NH"
Derry,NH,"Derry, NH"
Dover,NH,"Dover, NH"
Dublin,NH,"Dublin, NH"
Dunbarton,NH,"Dunbarton, NH"
Durham,NH,"Durham, NH"
East Franklin,NH,"East Franklin, NH"
East Kingston,NH,"East Kingston, NH"
East Lebanon,NH,"East Lebanon, NH"
East Rindge,NH,"East Rindge, NH"
Eaton,NH,"Eaton, NH"
Effingham,NH,"Effingham, NH"
Enfield,NH,"Enfield, NH"
Epping,NH,"Epping, NH"
Epsom,NH,"Epsom, NH"
Exeter,NH,"Exeter, NH"
Farmington,NH,"Farmington, NH"
Fisherville,NH,"Fisherville, NH"
Fitzwilliam,NH,"Fitzwilliam, NH"
Francestown,NH,"Francestown, NH"
Franconia,NH,"Franconia, NH"
Franklin,NH,"Franklin, NH"
Gilford,NH,"Gilford, NH"
Gilmanton,NH,"Gilmanton, NH"
Gilsum,NH,"Gilsum, NH"
Goffstown,NH,"Goffstown, NH"
Goshen,NH,"Goshen, NH"
Grafton,NH,"Grafton, NH"
Grafton and Danbury,NH,"Grafton and Danbury, NH"
Grantham,NH,"Grantham, NH"
Great Falls,NH,"Great Falls, NH"
