locality,state
Hopkinton and Richmond,RI
Jamestown,RI
Johnston,RI
Kingston,RI
Knightsville,RI
Lansdale,RI
Little Compton,RI
Lonsdale,RI
Manville,RI
Middletown,RI
Mt. Hope,RI
New Shoreham,RI
Newport,RI
North Kingstown,RI
North Scituate,RI
North Shoreham,RI
North Smithfield,RI
Old Warwick,RI
Olneyville,RI
Pawtucket,RI
Pawtuxet,RI
Peacedale,RI
Phoenix,RI
Phoenix?,RI
Portsmouth,RI
Providence,RI
Scituate,RI
Sharren,RI
Slatensville,RI
Slatersville,RI
Smithfield,RI
South Kingston,RI
South Kingstown,RI
Tiventon,RI
Tiverton,RI
Union,RI
Warren,RI
Warwick,RI
West Greenwich,RI
Westerly,RI
Wickford,RI
Woonsocket,RI
Woonsocket Falls,RI
NA,RI
Abbeville Dist.,SC
Abbeville Dist. (or county),SC
Barnwell,SC
Beaufort,SC
Berkeley Co.,SC
Camden,SC
Charleston,SC
Chatham,SC
Cheram,SC
Cheraw,SC
Chester dist. (or county),SC
Clinton,SC
Columbia,SC
Deal,SC
Due West,SC
Duw West,SC
Edgefield,SC
Edisto Island (near Charleston),SC
Fair Forest,SC
Fairfield County,SC
Georgetown,SC
Gravesend,SC
Greenfield,SC
Greenville,SC
Greenville Co.,SC
Greenwood,SC
Hamburgh,SC
Indian Land,SC
James Island,SC
Laurens,SC
lexington,SC
Lexington,SC
Mayesville,SC
Newberry,SC
Pendleton,SC
Pineville,SC
Port Royall,SC
Prince Williams,SC
Santee,SC
Society Hill,SC
Spartanburg,SC
St. Bartholomew,SC
St. George,SC
St. John,SC
Stateburgh,SC
Statesburgh,SC
Sumterville,SC
Sumterville (Sumter),SC
Union,SC
Waccamaw,SC
Walhalla,SC
Walterboro,SC
Welsh Neck,SC
Williamsburg,SC
Winnsboro,SC
Winyah,SC
York Dist.,SC
York Dist. (or county),SC
NA,SC
Aberdeen,SD
Ft. Randall,SD
Ft. Sully,SD
Ft. Wadsworth,SD
Yankton,SD
Athens,TN
Briston,TN
Charlotte,TN
Chattanooga,TN
Clarksville,TN
Columbia,TN
Culleoka,TN
Dyersburg,TN
Edgefield,TN
Fayetteville,TN
Fountain,TN
Franklin,TN
Franklin College,TN
Gallatin,TN
Greeneville,TN
Greenville,TN
Irving College,TN
Jackson,TN
Knoxville,TN
Knoxville Lib.,TN
LaGrange,TN
lebanon,TN
Lebanon,TN
Madisonville,TN
Maryville,TN
Massy Creek,TN
McKenzie,TN
McMinnville,TN
memphis,TN
Memphis,TN
Mifflin,TN
Mossy Creek,TN
Murfreesboro,TN
Nashville,TN
Pulaski,TN
Savannah,TN
Sewanee,TN
Somerville,TN
Stockton,TN
Trenton,TN
Tusculum,TN
Washington County,TN
Williamsport,TN
Winchester,TN
NA,TN
Austin,TX
Bastrop,TX
Belton,TX
Brownsville,TX
Chapel Hill,TX
Clarksville,TX
College Station,TX
Content,TX
Corsicana,TX
Dallas,TX
Fort Worth,TX
Ft. Clark,TX
Galveston,TX
Georgetown,TX
Henderson,TX
houston,TX
Houston,TX
Huntsville,TX
Independence,TX
Jefferson,TX
Leon County,TX
Liberty County,TX
Marshall,TX
Matagorda,TX
near San Antonio,TX
New Braunfels,TX
Nocogdoches,TX
Phantom Hill,TX
Rio Grande,TX
Rutersville,TX
San Antonio,TX
Sherman,TX
Sisterdale,TX
tehuacana,TX
Tehuacana,TX
Tyler,TX
Waco,TX
Waxahachie,TX
NA,TX
Alpine City,UT
American Fork,UT
Beaver,UT
Beaver City,UT
Cedar City,UT
Coalville,UT
Desaret City,UT
Ephraim,UT
Fillmore,UT
Gardnersville,UT
Gunnison,UT
Harrisburg,UT
Lehi,UT
Logan,UT
Manti,UT
Minersville,UT
Moroni,UT
Mount Pleasant,UT
Nephi,UT
Ogden City,UT
Parowan,UT
Payson,UT
Provo,UT
Rockville,UT
Salt Lake City,UT
Spanish Forks,UT
Springville,UT
St. George,UT
Tooele,UT
Toquersville,UT
Washington,UT
Abington,VA
Alexandria,VA
Ashland,VA
Aylett's,VA
Berryville,VA
Blacksburg,VA
Boydtown,VA
Bruton,VA
Charlotesville,VA
Charlottesville,VA
Charlottesville?,VA
Christiansburg,VA
Dimveddie?,VA
emory,VA
Emory,VA
Fairfax,VA
Fairfax County,VA
Fort Monroe,VA
Frederickburg,VA
Fredricksburg,VA
Front Royal,VA
Gate City,VA
Germanna,VA
Hampden Sidney,VA
Hampden Sydney,VA
Hampton,VA
Harrisonburg,VA
Hillsborough (now Hillsboro),VA
Hollins,VA
Jeffersonville (now Tazemell),VA
Kikotan,VA
King George's Co.,VA
Leeds,VA
Lewisburg,VA
Lexington,VA
Lynchburg,VA
Madison,VA
Manicantown,VA
New Market,VA
Norfolk,VA
Orange Co.,VA
Orange County,VA
Palmyra,VA
Petersburg,VA
Portsmouth,VA
Richmond,VA
Romney,VA
Salem,VA
St. Staunton,VA
Staunton,VA
Warm Springs,VA
Williamsburg,VA
Winchester,VA
NA,VA
Andover,VT
Arlington,VT
Barnard,VT
Barnet,VT
Barre,VT
Bennington,VT
Benson,VT
Bradford,VT
Brandon,VT
Brattleboro,VT
Brattleborough,VT
Brookfield,VT
burlington,VT
Burlington,VT
Calais,VT
Cavendish,VT
Chelsea,VT
Chester,VT
Cornwall,VT
Derby,VT
Dorset,VT
East Calais,VT
East Dorset,VT
Fair Haven,VT
Felchville,VT
Grafton,VT
Grand-Isle,VT
Guilford,VT
Hartford,VT
Hinesburgh,VT
Hyde Park,VT
Irasburg,VT
Lowell,VT
Lunenburgh,VT
Manchester,VT
Marlborough,VT
Middleburg,VT
Middlebury,VT
Middletown Springs,VT
Montpelier,VT
New Hampton,VT
New Haven,VT
Newbury,VT
Newfone,VT
Northfield,VT
Orwell,VT
Pawlet,VT
Peacham,VT
Pittsfield,VT
Pittsford,VT
Pomfret,VT
Post Mills Village,VT
Poultney,VT
Proctorsville,VT
Reading,VT
Rochester,VT
Rockingham,VT
Royalton,VT
Rupert,VT
Rutland,VT
Ryegate,VT
Shoreham,VT
Springfield,VT
St. Albans,VT
St. Johnsburg,VT
St. Johnsbury,VT
Stafford,VT
Stowe,VT
Sutton,VT
Thetford,VT
Vergennes,VT
Vernon,VT
Wallingford,VT
Wells River,VT
West Randolph,VT
West Windsor,VT
Weston,VT
Williamstown,VT
Wilmington,VT
Windsor,VT
Woodstock,VT
Astoria,WA
Colville,WA
Ft. Vancouver,WA
Olympia,WA
Port Madison,WA
Seattle,WA
Spokane,WA
Steilacoom,WA
Vancouver,WA
Walla Walla,WA
Washington City,WA
Allen's Grove,WI
Appleton,WI
Astor,WI
Bayfield,WI
Beaver Dam,WI
Belleville,WI
Beloit,WI
Black River Falls,WI
Bloomington,WI
De Pere,WI
Delafield / Nashotah,WI
Delavan,WI
Du Lac,WI
Eau Claire,WI
Fond du Lac,WI
Fort Atkinson,WI
Fort Howard,WI
Fox Lake,WI
Franklin,WI
Fremont,WI
Galesville,WI
Gilmanton,WI
Hudson,WI
Iturgeon Bay,WI
Jamesville,WI
Janesville,WI
Kenosha,WI
Kewanee,WI
LaCrosse,WI
Madison,WI
Manitowoc,WI
Manston,WI
Mendota,WI
Menominee,WI
Milton,WI
Milwaukee,WI
Monroe,WI
Near Milwaukee,WI
Neenah,WI
New Holstein,WI
Oshkosh,WI
Pewaukee,WI
Platteville,WI
Prairie du Chien,WI
Racine,WI
Racine Junction,WI
Ripon,WI
Sheboygan,WI
Sheboygan Falls,WI
Sinsinawa,WI
Sinsinawa Mound,WI
Sparta,WI
Spring Green,WI
St. Francis,WI
Stevens Point,WI
Superior,WI
Wanpoca,WI
Warikesha,WI
Watertown,WI
Waukesha,WI
Waupun,WI
Wausau,WI
West Allis,WI
Winnebago,WI
NA,WI
Barnesville,WV
bethany,WV
Bethany,WV
Bethany College,WV
Charles Town,WV
Charleston,WV
Charlestown,WV
Flemington,WV
Guyandotte,WV
Harper's Ferry,WV
Harpers Ferry,WV
Lewisburg,WV
Martinsburg,WV
Morgantown,WV
Moundsville,WV
New Cumberland,WV
Ohio County,WV
Parkensburg,WV
Parkersburg,WV
Preston,WV
Preston county,WV
Preston County,WV
Pruntytown,WV
Sheperdstown,WV
Shepherds town,WV
Wellsburg,WV
Weston,WV
Wheeling,WV
Bridger,WY
Cheyenne,WY
Fetterman,WY
Fort D.A. Russell?,WY
Fort Laramie,WY
Ft. D.A. Russell,WY
Ft. Fred Steele,WY
Laramie,WY
Sanders,WY
NA,WY
